ingredient,normalized_ingredient,ifct_code,ifct_name,mapping_status,mapping_type,confidence,source_type,source_reference,notes
"Wheat flour, atta",wheat flour atta,A019,"Wheat flour, atta",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:A019,Direct match to whole wheat atta
"Wheat flour, refined",wheat flour refined,A018,"Wheat flour, refined",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:A018,Direct match to maida (refined wheat flour)
"Rice, raw/parboiled",rice raw parboiled,A014,"Rice, parboiled, milled",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:A014,Direct match to parboiled milled rice
"Rice, flakes",rice flakes,A011,"Rice, flakes",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:A011,Direct match to poha (rice flakes)
"Rice, puffed",rice puffed,A012,"Rice, puffed",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:A012,Direct match to murmura (puffed rice)
"Wheat, semolina",wheat semolina,A022,"Wheat, semolina",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:A022,Direct match to suji / rava
"Wheat, vermicelli",wheat vermicelli,A023,"Wheat, vermicelli",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:A023,Direct match to sevai
"Wheat, bulgur",wheat bulgur,A021,"Wheat, bulgur",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:A021,Direct match to dalia (broken wheat bulgur)
"Bengal gram, dal",bengal gram dal,B001,"Bengal gram, dal",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:B001,Direct match to chana dal
"Bengal gram, whole",bengal gram whole,B002,"Bengal gram, whole",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:B002,Direct match to kala chana
"Bengal gram, flour",bengal gram flour,B001,"Bengal gram, dal",VERIFIED,INGREDIENT_FORM,0.95,IFCT_DERIVED,IFCT2017:B001,Besan is mechanically milled dehulled Bengal gram dal
Kabuli chana,kabuli chana,B002,"Bengal gram, whole",APPROXIMATE,VARIETY,0.85,PROJECT_ASSUMPTION,IFCT2017:B002,White chana mapped to proximate species Cicer arietinum L. (whole)
"Green gram, dal",green gram dal,B010,"Green gram, dal",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:B010,Direct match to moong dal (yellow/split)
"Green gram, whole",green gram whole,B011,"Green gram, whole",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:B011,Direct match to moong sabut
"Lentil, dal",lentil dal,B013,"Lentil, dal",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:B013,Direct match to malka masoor (split lentil)
"Lentil, whole",lentil whole,B014,"Lentil, whole, brown",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:B014,Direct match to sabut masoor (brown lentil)
"Red gram, dal",red gram dal,B022,"Red gram, whole",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:B022,Direct match to toor dal / arhar dal
"Black gram, dal",black gram dal,B003,"Black gram, dal",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:B003,Direct match to dhuli urad dal
"Black gram, whole",black gram whole,B004,"Black gram, whole",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:B004,Direct match to sabut urad (black dal)
Cowpea,cowpea,B005,"Cowpea, brown",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:B005,Direct match to lobiya (brown cowpea)
Kidney beans,kidney beans,B020,"Rajmah, red",VERIFIED,VARIETY,0.95,IFCT_DIRECT,IFCT2017:B020,"Direct match to rajmah, red"
Soyabean chunks,soyabean chunks,B024,"Soya bean, brown",APPROXIMATE,INGREDIENT_FORM,0.8,PROJECT_ASSUMPTION,IFCT2017:B024,Commercial soya chunks mapped to raw whole soyabean as baseline
Green peas,green peas,D061,"Peas, fresh",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:D061,Direct match to fresh green peas
Potato,potato,F006,"Potato, brown skin, big",VERIFIED,VARIETY,0.95,IFCT_DIRECT,IFCT2017:F006,"Priority cultivar: Potato, brown skin, big"
Onion,onion,G017,"Onion, big",VERIFIED,VARIETY,0.95,IFCT_DIRECT,IFCT2017:G017,"Priority cultivar: Onion, big commercial"
Tomato,tomato,D075,"Tomato, ripe, hybrid",VERIFIED,VARIETY,0.95,IFCT_DIRECT,IFCT2017:D075,"Priority cultivar: Tomato, ripe, hybrid"
Ginger,ginger,G014,"Ginger, fresh",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:G014,Direct match to fresh ginger
Garlic,garlic,G011,"Garlic, big cloves",VERIFIED,VARIETY,0.95,IFCT_DIRECT,IFCT2017:G011,"Priority cultivar: Garlic, big cloves"
Green chilli,green chilli,G008,"Chillies, green - all varieties",VERIFIED,VARIETY,0.95,IFCT_DIRECT,IFCT2017:G008,Green chillies - all varieties composite
Cauliflower,cauliflower,D036,Cauliflower,VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:D036,Direct match to fresh cauliflower
Cabbage,cabbage,C015,"Cabbage, green",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:C015,Direct match to fresh green cabbage
"Capsicum, green",capsicum green,D033,"Capsicum, green",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:D033,Direct match to green capsicum (bell pepper)
Spinach,spinach,C033,Spinach,VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:C033,Direct match to fresh palak
Bottle gourd,bottle gourd,D007,"Bottle gourd, elongate, pale green",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:D007,Direct match to lauki / ghiya
Pumpkin,pumpkin,D066,"Pumpkin, orange, round",VERIFIED,SYNONYM,1.0,IFCT_DIRECT,IFCT2017:D066,Direct match to kaddu (orange round pumpkin)
Cucumber,cucumber,D043,"Cucumber, green, elongate",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:D043,Direct match to kheera (green elongate cucumber)
Beetroot,beetroot,F001,Beetroot,VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:F001,Direct match to chukandar (beetroot)
Sweet corn,sweet corn,A008,"Maize, tender, sweet",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:A008,"Direct match to maize, tender, sweet"
Carrot,carrot,F002,"Carrot, orange",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:F002,Direct match to orange carrot
French beans,french beans,D049,"French beans, country",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:D049,Direct match to green french beans
Lemon,lemon,E033,"Lemon, juice",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:E033,Direct match to fresh lemon juice
Coriander leaves,coriander leaves,G009,Coriander leaves,VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:G009,Direct match to fresh coriander leaves
Mint leaves,mint leaves,G016,Mint leaves,VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:G016,Direct match to fresh mint leaves
Banana,banana,E009,"Banana, ripe, montham",VERIFIED,VARIETY,0.95,IFCT_DIRECT,IFCT2017:E009,"Priority cultivar: Banana, ripe, montham"
