dish,ingredient,quantity_g,basis,source,source_type,reason,notes
Aloo,Potato,70.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Boiled potato single portion,"Priority cultivar: Potato, brown skin, big"
Aloo Bhaji,Potato,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced potato,"Priority cultivar: Potato, brown skin, big"
Aloo Bhaji,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Sautéed onion,"Priority cultivar: Onion, big commercial"
Aloo Bhaji,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Aloo Bhaji,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Green chilli,Green chillies - all varieties composite
Aloo Bonda,Potato,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Spiced potato ball,"Priority cultivar: Potato, brown skin, big"
Aloo Bonda,"Bengal gram, flour",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Besan batter coat,Besan is mechanically milled dehulled Bengal gram dal
Aloo Bonda,Vegetable oil,8.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Deep frying oil uptake,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Aloo Bonda,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Green chilli,Green chillies - all varieties composite
Aloo Cabbage Matar,Potato,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced potato,"Priority cultivar: Potato, brown skin, big"
Aloo Cabbage Matar,Cabbage,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Shredded cabbage,Direct match to fresh green cabbage
Aloo Cabbage Matar,Green peas,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh green peas,Direct match to fresh green peas
Aloo Cabbage Matar,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
