dish,ingredient,quantity_g,quantity_basis,source_type,source_reference,mapping_status,confidence,notes
Aloo,Potato,70.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Boiled potato single portion
Aloo Bhaji,Potato,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced potato
Aloo Bhaji,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Sautéed onion
Aloo Bhaji,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Aloo Bhaji,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Green chilli
Aloo Bonda,Potato,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Spiced potato ball
Aloo Bonda,"Bengal gram, flour",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Besan batter coat
Aloo Bonda,Vegetable oil,8.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Deep frying oil uptake
Aloo Bonda,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Green chilli
Aloo Cabbage Matar,Potato,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced potato
Aloo Cabbage Matar,Cabbage,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Shredded cabbage
Aloo Cabbage Matar,Green peas,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh green peas
Aloo Cabbage Matar,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Aloo Cabbage Matar,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Aloo Capsicum,Potato,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced potato
Aloo Capsicum,"Capsicum, green",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Diced green bell pepper
Aloo Capsicum,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Aloo Capsicum,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Aloo Capsicum,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Aloo Matar,Potato,45.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced potato
Aloo Matar,Green peas,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh green peas
Aloo Matar,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato gravy
Aloo Matar,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Aloo Matar,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Aloo Onion Kadhi,"Bengal gram, flour",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Besan kadhi base
Aloo Onion Kadhi,Curd / Dahi,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,APPROXIMATE,0.9,Sour curd for kadhi
Aloo Onion Kadhi,Potato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced potato
Aloo Onion Kadhi,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Sliced onion
