rule_id,condition,rule_type,target_attribute,operator,threshold_or_value,action,status,provenance_type,source_id,citation,rationale
HR_DIAB_001,DIABETES,HARD_CONSTRAINT,plate_role,EQUALS,DESSERT,EXCLUDE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_ICMR_DIAB_2018,"ICMR (2018) Guidelines for Management of Type 2 Diabetes",Eliminate free/added sugars and concentrated sweets to prevent acute postprandial hyperglycemia
HR_DIAB_002,DIABETES,SOFT_PENALTY,plate_role,EQUALS,SNACK,PENALIZE_SCORE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_ICMR_DIAB_2018,"ICMR (2018) Guidelines for Management of Type 2 Diabetes",Limit deep-fried snacks and refined flour items to reduce insulin resistance and cardiovascular risk
HR_DIAB_003,DIABETES,PROMOTION,plate_role,EQUALS,ACCOMPANIMENT,BOOST_SCORE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_ICMR_DIAB_2018,"ICMR (2018) Guidelines for Management of Type 2 Diabetes",Promote raw salads and high-fibre vegetable accompaniments to attenuate glycemic response
HR_DIAB_004,DIABETES,HARD_CONSTRAINT,glycemic_index,LESS_THAN,55.0,EXCLUDE,DISABLED_UNSOURCED,NEEDS_SOURCE,NEEDS_SOURCE,UNGROUNDED / NEEDS_SOURCE,IFCT 2017 lacks measured GI values for composite dishes; disabled to preserve research integrity
HR_HTN_001,HYPERTENSION,HARD_CONSTRAINT,canonical_dish,EQUALS,Pickle,EXCLUDE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_IHG_IV_2019,"Indian Hypertension Guidelines (IHG-IV 2019) / WHO",Eliminate high-salt preserved pickles to support daily sodium restriction <2000mg
HR_HTN_002,HYPERTENSION,SOFT_PENALTY,canonical_dish,IN,"Chips,Namkeen",PENALIZE_SCORE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_IHG_IV_2019,"Indian Hypertension Guidelines (IHG-IV 2019)",Penalize ultra-processed packaged snacks with excessive sodium chloride
HR_HTN_003,HYPERTENSION,PROMOTION,canonical_dish,EQUALS,Banana,BOOST_SCORE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_IHG_IV_2019,"Indian Hypertension Guidelines (IHG-IV 2019) / ICMR-NIN 2020",Promote fresh fruit high in potassium (target 3500mg/d) to improve sodium-potassium balance
HR_HTN_004,HYPERTENSION,HARD_CONSTRAINT,sodium_mg,LESS_THAN,150.0,EXCLUDE,DISABLED_UNSOURCED,NEEDS_SOURCE,NEEDS_SOURCE,UNGROUNDED / NEEDS_SOURCE,Table salt added in mess cooking is unmeasured; capping natural sodium creates false sense of security
HR_PCOS_001,PCOS,HARD_CONSTRAINT,plate_role,EQUALS,DESSERT,EXCLUDE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_PCOS_2023,"International Evidence-based Guideline for PCOS (Teede et al., 2023)",Restrict simple sugars and confectionery to manage insulin resistance and hyperandrogenism
HR_PCOS_002,PCOS,SOFT_PENALTY,canonical_dish,IN,"Muffin,Brownie,Cream Roll,Tea Cake,Danish Bun",PENALIZE_SCORE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_PCOS_2023,"International Evidence-based Guideline for PCOS (2023)",Penalize ultra-processed commercial bakery items high in refined carbohydrates and trans-fats
HR_PCOS_003,PCOS,HARD_CONSTRAINT,ingredient,CONTAINS,Milk,EXCLUDE,DISABLED_UNSOURCED,NEEDS_SOURCE,NEEDS_SOURCE,UNGROUNDED / NEEDS_SOURCE,2023 International PCOS Guideline confirms no clinical evidence for routine dairy elimination in PCOS
HR_PCOS_004,PCOS,HARD_CONSTRAINT,glycemic_index,LESS_THAN,50.0,EXCLUDE,DISABLED_UNSOURCED,NEEDS_SOURCE,NEEDS_SOURCE,UNGROUNDED / NEEDS_SOURCE,No measured GI data in IFCT 2017; disabled to prevent ungrounded algorithmic bias
HR_OBES_001,OBESITY,HARD_CONSTRAINT,plate_role,EQUALS,DESSERT,EXCLUDE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_MISRA_2009,"Misra et al. (2009) JAPI / ICMR-NIN 2020",Eliminate concentrated desserts to prevent caloric surplus in weight management
HR_OBES_002,OBESITY,SOFT_PENALTY,canonical_dish,IN,"Samosa,Aloo Bonda,Bread Pakora,Mix Pakora,Fryums,Mathi,Namak Pare",PENALIZE_SCORE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_MISRA_2009,"Misra et al. (2009) JAPI / ICMR-NIN 2020",Penalize energy-dense deep-fried snacks to lower overall dietary fat fraction
HR_OBES_003,OBESITY,PROMOTION,canonical_dish,IN,"Green Salad,Cucumber Salad,Beetroot Cucumber Salad",BOOST_SCORE,ACTIVE_VERIFIED,PRIMARY_LITERATURE,SRC_MISRA_2009,"Misra et al. (2009) JAPI / ICMR-NIN 2020",Promote low-energy-density raw salads to enhance satiety and gastric volume
HR_OBES_004,OBESITY,HARD_CONSTRAINT,carbohydrate_g,LESS_THAN,20.0,EXCLUDE,DISABLED_UNSOURCED,NEEDS_SOURCE,NEEDS_SOURCE,UNGROUNDED / NEEDS_SOURCE,ICMR-NIN 2020 advises balanced complex carbs (50-60%) rather than unmonitored extreme keto restrictions
