source_id,source_name,source_type,url,description,used_for,access_date,notes
SRC_IFCT2017_PUB,Indian Food Composition Tables 2017 (Print Publication),PRIMARY_LITERATURE,https://www.nin.res.in,"Longvah, T., Ananthan, R., Bhaskarachary, K., & Venkaiah, K. (2017). Indian Food Composition Tables. National Institute of Nutrition (ICMR), Hyderabad. ISBN: 978-93-84570-00-5.","Primary nutritional densities, macronutrient mass fractions, and mineral analysis",2026-09-24,Official comprehensive national food composition database for Indian foods
SRC_IFCT2017_REPO,IFCT 2017 Machine-Readable Dataset (nodef/ifct2017),DATASET_REPOSITORY,https://github.com/nodef/ifct2017,Digitized comma-separated values distribution of IFCT 2017 tables (542 foods x 421 columns).,Raw data input for ifct_2017_original.csv,2026-09-24,Supplied as project raw input; reconciled 542 rows against printed 528 food tables
SRC_ATWATER_FAO2003,FAO Food Energy Analysis and Conversion Factors (2003),TECHNICAL_STANDARD,https://www.fao.org/4/y5022e/y5022e00.htm,"FAO. (2003). Food energy - methods of analysis and conversion factors. FAO Food and Nutrition Paper 77, Rome. Chapter 3: Calculation of energy content of foods (fat = 9.0 kcal/g / 37 kJ/g).",Deriving energy for Group T edible oils and fats with raw 0 kJ defect,2026-09-24,Authoritative international Atwater general energy factor standard
SRC_USDA_FDC,USDA FoodData Central (Selected Reference Foods),EXTERNAL_DATABASE,https://fdc.nal.usda.gov,United States Department of Agriculture Agricultural Research Service FoodData Central (FDC IDs: 169655 Granulated sugar; 173410 Salted butter; 173449 Condensed milk; 172685 White bread).,Per-item external reference nutrient payloads for commercial items absent from IFCT,2026-09-24,"Used strictly on a per-item cited basis, never as an ungrounded default"
SRC_HOSTEL_MENU,Institutional Hostel Mess Menu (October 2026),INSTITUTIONAL_DATA,LOCAL_WORKSPACE:mess_menu.csv,"Real operational mess menu spanning 31 days (October 1 to October 31, 2026) across 624 service rows.","Daily meal scheduling, meal slots, and candidate dish availability",2026-09-24,Authoritative institutional schedule of served dishes
SRC_PROJECT_PORTIONS,Project Standardized Raw Portion Model,PROJECT_ASSUMPTION,LOCAL_CONFIG:config/dish_templates.yaml,"Standardized raw-ingredient-gram issuance weights per single student serving (e.g., 30g atta/chapati, 50g raw rice, 30g pulse/dal, 5g cooking fat).",Decomposing 132 canonical dishes into raw ingredient gram quantities,2026-09-24,"Explicitly classified as modeling assumptions, not measured institutional recipes"
SRC_MISRA_2009,"Asian Indian Obesity Consensus Guidelines (Misra et al., 2009)",PRIMARY_LITERATURE,https://pubmed.ncbi.nlm.nih.gov/19582986/,"Misra, A., Chowbey, P., Makkar, B. M., Vikram, N. K., Wasir, J. S., Chadha, D., et al. (2009). Consensus statement for diagnosis of obesity, abdominal obesity and the metabolic syndrome for Asian Indians. JAPI, 57(2), 163-170.","Asian Indian BMI cut-offs (<18.5 Underweight, 18.5-22.9 Normal, 23.0-24.9 Overweight, >=25.0 Obese)",2026-09-24,Authoritative national clinical consensus addressing lower BMI threshold for adiposity-related cardiometabolic risk in Asian Indians
SRC_WHO_2000,WHO International BMI Classification (2000 / 2004),TECHNICAL_STANDARD,https://www.who.int/publications/i/item/9241208945,"WHO. (2000). Obesity: preventing and managing the global epidemic. WHO Technical Report Series 894; WHO Expert Consultation. (2004). Appropriate body-mass index for Asian populations. Lancet, 363(9403), 157-163.","International reference BMI cut-offs (<18.5, 18.5-24.9, 25.0-29.9, >=30.0)",2026-09-24,Global comparative benchmark standard
SRC_ICMR_NIN_2020,Nutrient Requirements for Indians: Recommended Dietary Allowances and Estimated Average Requirements (ICMR-NIN 2020),PRIMARY_LITERATURE,https://www.nin.res.in,"ICMR-National Institute of Nutrition. (2020). Nutrient Requirements for Indians: A Report of the Expert Group. Hyderabad: ICMR-NIN. Reference weights: Men 65kg, Women 55kg. Protein: 0.83 g/kg/d; Fibre: 30g/2000kcal; Calcium: 1000mg/d; Iron: Men 19mg/d, Women 29mg/d; Sodium: 2000mg/d; Potassium: 3500mg/d.","Personalized daily nutritional targets, macronutrient distributions, mineral requirements, and PAL energy calculations",2026-09-24,National statutory dietary guideline for Indian population
SRC_MIFFLIN_1990,Mifflin-St Jeor Resting Energy Expenditure Equation (1990),PRIMARY_LITERATURE,https://pubmed.ncbi.nlm.nih.gov/2305711/,"Mifflin, M. D., St Jeor, S. T., Hill, L. A., Scott, B. J., Daugherty, S. A., & Koh, Y. O. (1990). A new predictive equation for resting energy expenditure in healthy individuals. The American Journal of Clinical Nutrition, 51(2), 241-247.","Basal Metabolic Rate (BMR) prediction from student weight, height, age, and sex",2026-09-24,Clinically established as the most reliable resting metabolic rate predictive equation
SRC_ICMR_DIAB_2018,ICMR Guidelines for Management of Type 2 Diabetes (2018),PRIMARY_LITERATURE,https://www.icmr.gov.in,"Indian Council of Medical Research. (2018). ICMR Guidelines for Management of Type 2 Diabetes. New Delhi: ICMR. Medical Nutrition Therapy (MNT): free sugar restriction, deep-fried food elimination, complex carbohydrate prioritization.","Clinical dietary constraint rules for diabetic students (dessert exclusion, fried snack penalty)",2026-09-24,Authoritative national clinical management guideline
SRC_IHG_IV_2019,Indian Hypertension Guidelines-IV (IHG-IV 2019),PRIMARY_LITERATURE,https://www.japi.org,"Association of Physicians of India. (2019). Indian Hypertension Guidelines-IV. JAPI. Dietary sodium reduction (<2000mg/d), avoidance of preserved high-salt pickles and packaged snacks, adequate potassium promotion.","Clinical dietary constraint rules for hypertensive students (pickle exclusion, packaged snack penalty)",2026-09-24,National clinical consensus for hypertension management
SRC_PCOS_2023,International Evidence-based Guideline for Assessment and Management of PCOS (2023),PRIMARY_LITERATURE,https://doi.org/10.1016/j.fertnstert.2023.07.025,"Teede, H. J., et al. (2023). Recommendations from the 2023 international evidence-based guideline for the assessment and management of polycystic ovary syndrome. Fertility and Sterility, 120(4), 767-793.","Dietary rules for PCOS (simple sugar restriction, refuting arbitrary dairy elimination)",2026-09-24,Global multi-society clinical guideline for PCOS
